symbol,meaning,meaning_source,confidence,occurrence_count,id_count,sample_ids,sample_titles,sample_context,wolfram_symbol
entry,vacuum-sector quantity,context_rule,low,1034,945,ID0060; ID0080; ID0100; ID0126; ID0135; ID0162; ID0171; ID0245; ID0302; ID0364; ID0371; ID0400; ID0409; ID0421; ID0508; ID0512; ID0515; ID0531; ID0536; ID0546,Quantum Coherence and Decoherence | Semiclassical Limits | Information Synchronization at the TZP | Electrohydrodynamic Resonance Operator | Universal Constraint of Natural Transformation,"Quantum Coherence and Decoherence \mathcal{C}(\phi_{1},\phi_{2}) = \frac{\left|\langle \phi_{1},\phi_{2}\rangle\right|} \lVert\phi_{1}\rVert\,\lVert\phi_{2}\rVert || \mathcal{C}(t) \to 0",entry
sum_,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1026,657,ID0055; ID0061; ID0063; ID0073; ID0080; ID0115; ID0117; ID0119; ID0120; ID0141; ID0144; ID0152; ID0201; ID0205; ID0212; ID0224; ID0227; ID0254; ID0289; ID0299,Boundary-Induced Quantum Effects | Environment-Induced Superselection | Measurement Back-Action | Quantum Channels and Maps | Semiclassical Limits,"Boundary-Induced Quantum Effects \mathcal{B}_{\partial\Omega}\phi = \sum_{n} b_{n}(\partial\Omega)\,\phi_{n} || b_{n} = b_{n}^{\mathrm{geom}} + b_{n}^{\mathrm{top}} + b_{n}^{\mathrm{curv}}",sum_
sqrt,vacuum-sector quantity,context_rule,low,953,580,ID0006; ID0009; ID0012; ID0036; ID0098; ID0109; ID0115; ID0123; ID0171; ID0200; ID0211; ID0245; ID0249; ID0301; ID0304; ID0307; ID0309; ID0316; ID0327; ID0329,Trawin Base Unit | Hyper-Dimensional Span | Field Coherence Metric | Vacuum Fluctuation Operator (TZP) | Delta-Function Signal Injection,"Trawin Base Unit u_{T} := \oint_{\Gamma} \sqrt{\lvert g \rvert}\, d\ell || \operatorname{Wind}_{p}(\Gamma)=1",sqrt
J,"Hamiltonian, energy, or field strength depending on context",context_rule,low,948,444,ID0025; ID0037; ID0077; ID0085; ID0088; ID0102; ID0125; ID0166; ID0213; ID0216; ID0219; ID0221; ID0223; ID0232; ID0252; ID0258; ID0261; ID0277; ID0283; ID0284,Conservation Law: TZP Topological Charge | Emergent Rotation Principle | Quantum Transport Phenomena | Gyromagnetic Genesis Hypothesis | Local Electromagnetic Field–Driven Rotation,"Conservation Law: TZP Topological Charge Q = \int_{\Sigma} J^{\mu}\, d\Sigma_{\mu} || \nabla^{\mathrm{T}}_{\mu}J^{\mu}=0, \qquad Q=w",J
V,vacuum-sector quantity,context_rule,low,948,514,ID0008; ID0036; ID0037; ID0041; ID0060; ID0066; ID0069; ID0079; ID0085; ID0088; ID0146; ID0177; ID0186; ID0206; ID0228; ID0235; ID0242; ID0250; ID0263; ID0265,Non-Linearity Constant K_NL | Vacuum Fluctuation Operator (TZP) | Emergent Rotation Principle | Topological Helicity Quantisation | Quantum Coherence and Decoherence,Non-Linearity Constant K_NL K_{\mathrm{NL}} = \frac{\lVert \nabla^{2}\Phi \rVert}{\lVert \nabla\Phi \rVert^{2}} || K_{\mathrm{NL}}^{\mathrm{TZP}} = \lim_{x \to p} \frac{\lVert \nabla^{2}\Phi(x) \rVert}{\lVert \nabla\Phi(x) \rVert^{2}},V
ω,angular frequency,standard_physics,medium,944,542,ID0015; ID0024; ID0036; ID0049; ID0053; ID0062; ID0076; ID0077; ID0087; ID0088; ID0093; ID0126; ID0127; ID0146; ID0173; ID0190; ID0208; ID0211; ID0221; ID0223,Spectral Density Index (TZP-Weighted) | TZP Vacuum Energy Density | Vacuum Fluctuation Operator (TZP) | Zero-Point Fluctuations | Quantum Harmonic Oscillator (TZP-Modified),"Spectral Density Index (TZP-Weighted) \eta(\omega) = \omega^{-\beta} e^{-\omega/\omega_{0}} || \omega_{0} = \omega_{0}(u_{T}), \qquad \beta = \beta(S_{\mathrm{HD}})",omega
can,vacuum-sector quantity,context_rule,low,933,731,ID0098; ID0104; ID0115; ID0161; ID0173; ID0175; ID0183; ID0187; ID0193; ID0199; ID0254; ID0260; ID0279; ID0281; ID0287; ID0346; ID0390; ID0402; ID0404; ID0410,Delta-Function Signal Injection | Holographic Information Projection | Kuramoto Planetary Spin Model | Principal Bundle over Lemniscatic Manifold | Horizontal Lift and Gauge Transport,Delta-Function Signal Injection G_{\sigma}(t) = \frac{1}{\sigma\sqrt{2\pi}} \exp\!\left(-\frac{t^2}{2\sigma^2}\right) || \delta_{\mathrm{inj}} = \lim_{\sigma \to 0} G_{\sigma}(t),can
θ,angle coordinate,standard_math,medium,919,627,ID0020; ID0097; ID0100; ID0101; ID0105; ID0110; ID0111; ID0113; ID0114; ID0121; ID0143; ID0144; ID0201; ID0212; ID0215; ID0217; ID0218; ID0250; ID0252; ID0313,Trawinistic Winding Number | Flip–Twist Bridge Transformation | Information Synchronization at the TZP | Helical Standing-Wave Amplification | Master Synchronization Functional,Trawinistic Winding Number w = \frac{1}{2\pi} \oint_{\Gamma} \nabla \theta \cdot d\ell || w \in \tfrac{1}{2}\mathbb{Z},theta
eff,DNA/biological-sector quantity,context_rule,low,911,440,ID0058; ID0059; ID0075; ID0076; ID0078; ID0081; ID0083; ID0084; ID0152; ID0183; ID0184; ID0202; ID0266; ID0288; ID0309; ID0316; ID0356; ID0377; ID0383; ID0414,Renormalization Flow as Dimensional Navigation | Scale Dependence of Physical Constants | Quantum Thermodynamics | Fluctuation–Dissipation Relations | Quantum Criticality,"Renormalization Flow as Dimensional Navigation \mu\frac{dg}{d\mu} = \beta\!\left(g,d_{\mathrm{eff}}\right) || d_{\mathrm{eff}} = d_{\mathrm{eff}}(\mu)",eff
coupling,vacuum-sector quantity,context_rule,low,891,651,ID0059; ID0085; ID0099; ID0118; ID0120; ID0141; ID0142; ID0143; ID0144; ID0155; ID0162; ID0184; ID0202; ID0206; ID0262; ID0264; ID0276; ID0280; ID0325; ID0366,Scale Dependence of Physical Constants | Gyromagnetic Genesis Hypothesis | Cymatic Beat Frequency Topology | Dominant Planetary Coupling Pairs | Planetary Spin–Orbit Oscillator Model,"Scale Dependence of Physical Constants \frac{dc_{i}}{d\ln\mu} = f_{i}\!\left(c_{j},d_{\mathrm{eff}}\right) || c_{i} = c_{i}(\mu,d_{\mathrm{eff}})",coupling
C,vacuum-sector quantity,context_rule,low,889,475,ID0012; ID0027; ID0034; ID0060; ID0067; ID0070; ID0071; ID0082; ID0157; ID0158; ID0159; ID0162; ID0185; ID0191; ID0192; ID0193; ID0194; ID0195; ID0196; ID0197,Field Coherence Metric | Constraint: Trawinistic Metric Compatibility | Field Equations on a Trawinistic Manifold | Quantum Coherence and Decoherence | Topological Quantum States,"Field Coherence Metric C(\phi_{1},\phi_{2}) = \frac{\left|\langle \phi_{1},\phi_{2}\rangle\right|} {\|\phi_{1}\|\,\|\phi_{2}\|} || \|\phi\| = \sqrt{\langle \phi,\phi\rangle}",C
ρ,"density or density matrix, context dependent",standard_physics,medium,887,553,ID0038; ID0039; ID0040; ID0061; ID0063; ID0073; ID0074; ID0094; ID0096; ID0105; ID0108; ID0123; ID0128; ID0183; ID0200; ID0202; ID0219; ID0237; ID0238; ID0241,Elsasser Attractor Manifold | Magnetic–Coriolis Energy Equipartition | Universality of Elsasser Criticality | Environment-Induced Superselection | Measurement Back-Action,"Elsasser Attractor Manifold \Lambda = \frac{B^{2}}{\rho\,\mu\,\Omega^{2}} || \Lambda \approx 1",rho
Y,neutrino-sector quantity,context_rule,low,866,315,ID0158; ID0166; ID0315; ID0367; ID0403; ID0411; ID0412; ID0413; ID0415; ID0418; ID0458; ID0484; ID0701; ID0702; ID0703; ID0704; ID0705; ID0706; ID0707; ID0708,TZP Bifurcation Functor | Unified Geometry and K\ahler Manifold | Adjoint Functor Correspondence for Reverse Harmonics | Reverse Harmonic Functor Pair | THE Jacobian FLOW Operator (JacobianOp),TZP Bifurcation Functor F_{\mathrm{TZP}} : \mathcal{C}_{\mathrm{grav}}\times \mathcal{C}_{\mathrm{EM}}\times \mathcal{C}_{\mathrm{quant}} \longrightarrow \mathcal{L}_{\mathrm{lem}} || \delta_{\mathrm{TZP}} : F_{\mathrm{TZP}}\big\vert_{r=r_{,Y
you,"Hamiltonian, energy, or field strength depending on context",context_rule,low,864,602,ID1242; ID1258; ID1552; ID1557; ID1576; ID1683; ID1816; ID1830; ID1837; ID1851; ID1855; ID1866; ID1874; ID1902; ID1911; ID1929; ID1931; ID1946; ID1950; ID1964,EID_0183 Equation Source | EID_1112 Hamiltonian Operator Source | The Cymatic Codex | The DAANSsphere as Distributed Memory | EID_0062 Quantum Manifold Source,"EID_0183 Equation Source \\ddot{\\mathbf r} = -\nabla\\Phi(\\mathbf r,t). \",you
φ,"golden ratio or phase angle, context dependent",standard_math,medium,863,609,ID0005; ID0012; ID0018; ID0019; ID0029; ID0032; ID0033; ID0034; ID0051; ID0092; ID0109; ID0110; ID0111; ID0112; ID0113; ID0114; ID0120; ID0133; ID0148; ID0149,TZP Stability Under Symmetry-Preserving Diffeomorphisms | Field Coherence Metric | Trawinistic Laplacian | Trawinistic D'Alembertian | Trawinistic Hamiltonian Density,"TZP Stability Under Symmetry-Preserving Diffeomorphisms \phi : M \to M, \qquad \phi(p)=p || \phi(\Lambda)=\Lambda",phi
total,vacuum-sector quantity,context_rule,low,861,517,ID0141; ID0150; ID0151; ID0207; ID0234; ID0262; ID0263; ID0266; ID0306; ID0316; ID0318; ID0332; ID0348; ID0358; ID0372; ID0379; ID0388; ID0399; ID0400; ID0404,Kuramoto Dominant Coupling Hypothesis | Stress–Energy Conservation Constraint | Vacuum Stress–Energy Contribution | Helicity Transfer Constraint | Helicity Topology Invariant,Kuramoto Dominant Coupling Hypothesis \chi_{\max}=\frac{A_{\max}}{\sum_{i<j}A_{ij}} || \chi_{\max}<\chi_{\mathrm{crit}} \;\Longrightarrow\; r_{\mathrm{global}}\ll 1 || r_{\mathrm{cluster}}>r_{\mathrm{global}},total
textbackslash,"Hamiltonian, energy, or field strength depending on context",context_rule,low,853,183,ID0314; ID0322; ID0327; ID0945; ID1215; ID1269; ID1406; ID1413; ID1423; ID1467; ID1539; ID1601; ID1602; ID1608; ID1637; ID1643; ID1651; ID1657; ID1687; ID1700,Extended Phase Space for Magneto-Acoustic–Kaluza–Klein Systems | Frame-Dragging Metric Correction | Quantum Vortex Circulation Quantization | Master | Magnetic Field Ramp-Up & Flux Arrangement,Extended Phase Space for Magneto-Acoustic–Kaluza–Klein Systems Phi = n \cdot (h/2e) \approx n \cdot 2.07 \times 10^{-15} \text{ Wb} || Phi = n \cdot (h/2e) \approx n \cdot 2.07 \times 10^{-15} \text{ Wb},textbackslash
quantum,vacuum-sector quantity,context_rule,low,842,599,ID0050; ID0052; ID0053; ID0055; ID0057; ID0059; ID0060; ID0063; ID0067; ID0070; ID0074; ID0075; ID0079; ID0080; ID0082; ID0083; ID0164; ID0166; ID0167; ID0174,Quantum Fields on Curved Manifolds | Vacuum Polarization | Quantum Harmonic Oscillator (TZP-Modified) | Boundary-Induced Quantum Effects | Quantum Phase Transitions,Quantum Fields on Curved Manifolds \phi \in \Gamma(E \to M) || \left(\nabla^{\mu}\nabla_{\mu} + m^{2} + \xi R\right)\phi = 0,quantum
sin,DNA/biological-sector quantity,context_rule,low,838,419,ID0099; ID0113; ID0115; ID0119; ID0120; ID0121; ID0143; ID0243; ID0245; ID0249; ID0299; ID0301; ID0303; ID0319; ID0320; ID0322; ID0378; ID0422; ID0534; ID0535,Cymatic Beat Frequency Topology | Helical Spacetime Embedding Axiom | Kuramoto Planetary Spin Model | Planetary Spin Synchronization Limitations | Planetary Spin–Orbit Oscillator Model,Cymatic Beat Frequency Topology \begin{adjustbox}{max width=\linewidth} $\displaystyle \psi_{\mathrm{beat}}(t)=2\cos\!\bigl(\pi(f_2-f_1)t\bigr)\sin\!\bigl(\pi(f_1+f_2)t\bigr) $ \end{adjustbox} || \begin{adjustbox}{max width=\linewidth} $\di,sin
lambda,"wavelength, eigenvalue, coupling, or lambda abstraction, context dependent",standard_math,medium,834,389,ID0023; ID0068; ID0094; ID0112; ID0137; ID0170; ID0176; ID0180; ID0201; ID0235; ID0242; ID0250; ID0265; ID0293; ID0309; ID0312; ID0329; ID0362; ID0397; ID0413,TZP Potential Term | Berry Phase and Geometric Phase Effects | FractalNodes Scaling Functor Between Laboratory and Astrophysical Systems | Π–φ Structural Fusion | Megastructure Formation Theorem,"TZP Potential Term V_{T}(x) = \lambda \exp\!\left( -\frac{d(x,p)}{u_{T}} \right) || V_{T}(p)=\lambda",lambda
density,vacuum-sector quantity,context_rule,low,829,655,ID0006; ID0014; ID0015; ID0024; ID0029; ID0030; ID0031; ID0061; ID0081; ID0088; ID0094; ID0125; ID0126; ID0128; ID0152; ID0162; ID0188; ID0200; ID0219; ID0223,Trawin Base Unit | Inter-Modal Transfer Rate | Spectral Density Index (TZP-Weighted) | TZP Vacuum Energy Density | Trawinistic Hamiltonian Density,"Trawin Base Unit u_{T} := \oint_{\Gamma} \sqrt{\lvert g \rvert}\, d\ell || \operatorname{Wind}_{p}(\Gamma)=1",density
sim,curvature/geometric quantity depending on context,context_rule,low,820,464,ID0001; ID0016; ID0035; ID0057; ID0078; ID0079; ID0133; ID0137; ID0139; ID0140; ID0178; ID0185; ID0253; ID0254; ID0266; ID0297; ID0334; ID0336; ID0342; ID0353,Tzp Trawin Zero Point | Manifold Curvature (TZP Condition) | Quantum Field Propagator (TZP Background) | Quantum Phase Transitions | Quantum Criticality,"Tzp Trawin Zero Point \forall \Gamma \subset M,\; \Gamma \sim \Lambda || \Lambda(0)=\Lambda(1/2)=p",sim
Phi,"field, phase, or golden-ratio carrier, context dependent",corpus_inferred,medium,802,441,ID0008; ID0041; ID0105; ID0139; ID0183; ID0202; ID0223; ID0244; ID0273; ID0283; ID0312; ID0314; ID0330; ID0390; ID0463; ID0478; ID0502; ID0507; ID0511; ID0518,Non-Linearity Constant K_NL | Topological Helicity Quantisation | Master Synchronization Functional | Planck-Scale Emergence of the TZP | Emergent Gravity from Coherence Restoration,Non-Linearity Constant K_NL K_{\mathrm{NL}} = \frac{\lVert \nabla^{2}\Phi \rVert}{\lVert \nabla\Phi \rVert^{2}} || K_{\mathrm{NL}}^{\mathrm{TZP}} = \lim_{x \to p} \frac{\lVert \nabla^{2}\Phi(x) \rVert}{\lVert \nabla\Phi(x) \rVert^{2}},Phi
int,"Hamiltonian, energy, or field strength depending on context",context_rule,low,789,456,ID0062; ID0077; ID0085; ID0088; ID0104; ID0148; ID0171; ID0179; ID0202; ID0206; ID0325; ID0382; ID0439; ID0475; ID0492; ID0514; ID0533; ID0535; ID0537; ID0545,Quantum Noise Spectra | Quantum Transport Phenomena | Gyromagnetic Genesis Hypothesis | Local Electromagnetic Field–Driven Rotation | Holographic Information Projection,"Quantum Noise Spectra S_{O}(\omega) = \int d\tau\; e^{i\omega\tau} \langle \delta O(t)\,\delta O(t+\tau)\rangle || S_{O}^{(\eta)}(\omega) = S_{O}(\omega)\,\eta(\omega)",int
T_,vacuum-sector quantity,context_rule,low,781,342,ID0013; ID0014; ID0075; ID0076; ID0150; ID0151; ID0152; ID0153; ID0167; ID0168; ID0299; ID0335; ID0373; ID0424; ID0447; ID0450; ID0575; ID0595; ID0609; ID0614,Null Space Projection | Inter-Modal Transfer Rate | Quantum Thermodynamics | Fluctuation–Dissipation Relations | Stress–Energy Conservation Constraint,"Null Space Projection P_{\mathrm{null}} : T_{p}M \to T_{p}M || P_{\mathrm{null}}(v) = \begin{cases} v, & g(v,w)=0 \text{ for all } w \in T_{p}M,\\ 0, & \text{otherwise.} \end{cases}",T_
rangle,vacuum-sector quantity,context_rule,low,772,390,ID0010; ID0012; ID0030; ID0049; ID0051; ID0060; ID0061; ID0062; ID0064; ID0067; ID0068; ID0077; ID0078; ID0079; ID0082; ID0106; ID0107; ID0151; ID0164; ID0165,Stochastic Drift Magnitude | Field Coherence Metric | TZP-Modified Hamiltonian Operator | Zero-Point Fluctuations | Zero-Point Fluctuations,Stochastic Drift Magnitude \sigma_{\mathrm{SD}}^{2} = \lim_{\Delta t \to 0} \frac{1}{\Delta t} \left\langle (\Delta x)^{2} \right\rangle || \Delta x = x(t+\Delta t)-x(t),rangle
ij,"Hamiltonian, energy, or field strength depending on context",context_rule,low,769,423,ID0047; ID0061; ID0066; ID0081; ID0106; ID0115; ID0118; ID0119; ID0141; ID0164; ID0272; ID0293; ID0299; ID0421; ID0496; ID0518; ID0536; ID0537; ID0593; ID0681,Bayesian Evidence Accumulation Framework | Environment-Induced Superselection | Multipartite Entanglement FractalNodes | Classical Emergence from Quantum Dynamics | Phase-Coherence Matrix,Bayesian Evidence Accumulation Framework \frac{P(H_{i}\mid D)}{P(H_{j}\mid D)} = \frac{P(D\mid H_{i})}{P(D\mid H_{j})} \frac{P(H_{i})}{P(H_{j})} || B_{ij} = \frac{P(D\mid H_{i})}{P(D\mid H_{j})},ij
beta,curvature/geometric quantity depending on context,context_rule,low,766,322,ID0015; ID0058; ID0092; ID0105; ID0111; ID0112; ID0113; ID0114; ID0246; ID0257; ID0324; ID0376; ID0440; ID0450; ID0513; ID0515; ID0526; ID0537; ID0544; ID0558,Spectral Density Index (TZP-Weighted) | Renormalization Flow as Dimensional Navigation | Semi-Direct Product of Rotation and Gauge Symmetry | Master Synchronization Functional | Resonant Holographic Spiral,"Spectral Density Index (TZP-Weighted) \eta(\omega) = \omega^{-\beta} e^{-\omega/\omega_{0}} || \omega_{0} = \omega_{0}(u_{T}), \qquad \beta = \beta(S_{\mathrm{HD}})",beta
otimes,curvature/geometric quantity depending on context,context_rule,low,750,397,ID0074; ID0156; ID0163; ID0212; ID0219; ID0306; ID0314; ID0333; ID0348; ID0361; ID0444; ID0476; ID0494; ID0503; ID0505; ID0506; ID0507; ID0510; ID0522; ID0524,Completely Positive Trace-Preserving Maps | Higher Gerbe Structure | Total Connection Form and Holonomy | Gyromagnetic Bessel Interference Operator | Quantum-Coriolis Operator,"Completely Positive Trace-Preserving Maps (\mathcal{E}\otimes \mathbb{I}_{n})(X) \geq 0 \qquad \forall n,\; X \geq 0 || \operatorname{Tr}\!\left(\mathcal{E}(\rho)\right) = \operatorname{Tr}(\rho)",otimes
cos,DNA/biological-sector quantity,context_rule,low,734,340,ID0097; ID0099; ID0106; ID0113; ID0121; ID0126; ID0128; ID0131; ID0132; ID0146; ID0229; ID0230; ID0243; ID0245; ID0249; ID0301; ID0303; ID0528; ID0534; ID0540,Flip–Twist Bridge Transformation | Cymatic Beat Frequency Topology | Phase-Coherence Matrix | Helical Spacetime Embedding Axiom | Optimal Vortex Inflow Angle,Flip–Twist Bridge Transformation f_{\mathrm{bridge}} = \frac{32}{27} f_0 || \Psi_{\mathrm{bridge}}(t) = G_{\sigma}(t) \Bigl[ \cos(2\pi f_1 t) - \cos(2\pi f_2 t + \theta) \Bigr],cos
vacuum,vacuum-sector quantity,context_rule,low,729,486,ID0024; ID0036; ID0051; ID0052; ID0056; ID0150; ID0151; ID0153; ID0154; ID0159; ID0162; ID0167; ID0170; ID0177; ID0178; ID0179; ID0181; ID0184; ID0186; ID0187,TZP Vacuum Energy Density | Vacuum Fluctuation Operator (TZP) | Zero-Point Fluctuations | Vacuum Polarization | Casimir-Type Phenomena,"TZP Vacuum Energy Density \rho_{\mathrm{vac}}^{T} = \frac{1}{u_{T}^{4}} \int_{0}^{\omega_{\mathrm{cut}}} \eta(\omega)\,\hbar\omega\,d\omega || \omega_{\mathrm{cut}}=\omega_{\mathrm{cut}}(S_{\mathrm{HD}})",vacuum
A_,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,726,316,ID0080; ID0115; ID0118; ID0119; ID0124; ID0141; ID0145; ID0147; ID0201; ID0204; ID0308; ID0316; ID0381; ID0383; ID0438; ID0479; ID0528; ID0536; ID0562; ID0620,Semiclassical Limits | Kuramoto Planetary Spin Model | Dominant Planetary Coupling Pairs | Planetary Spin Synchronization Limitations | Pull Strength Scaling Law,"Semiclassical Limits \delta S_{\mathrm{T}}[\gamma_{\mathrm{cl}}] = 0 || K(x_f,t_f;x_i,t_i) \approx \sum_{\gamma_{\mathrm{cl}}} A_{\gamma} \exp\!\left(\frac{i}{\hbar}S_{\mathrm{T}}[\gamma_{\mathrm{cl}}]\right)",A_
omega_,vacuum-sector quantity,context_rule,low,725,378,ID0015; ID0024; ID0036; ID0049; ID0054; ID0095; ID0200; ID0201; ID0209; ID0211; ID0212; ID0215; ID0217; ID0223; ID0246; ID0256; ID0270; ID0275; ID0279; ID0283,Spectral Density Index (TZP-Weighted) | TZP Vacuum Energy Density | Vacuum Fluctuation Operator (TZP) | Zero-Point Fluctuations | Mode Quantization in Confined Geometries,"Spectral Density Index (TZP-Weighted) \eta(\omega) = \omega^{-\beta} e^{-\omega/\omega_{0}} || \omega_{0} = \omega_{0}(u_{T}), \qquad \beta = \beta(S_{\mathrm{HD}})",omega_
infty,vacuum-sector quantity,context_rule,low,722,383,ID0000; ID0016; ID0022; ID0049; ID0134; ID0135; ID0148; ID0151; ID0168; ID0212; ID0257; ID0316; ID0359; ID0375; ID0559; ID0560; ID0622; ID0626; ID0683; ID0907,Existence and Uniqueness of the Trawin Zero Point | Manifold Curvature (TZP Condition) | TZP Curvature Singularity | Zero-Point Fluctuations | Extended Bridge Frequency Sweep,"Existence and Uniqueness of the Trawin Zero Point \lim_{\tau\to\infty}\gamma(\tau)=p,",infty
this,vacuum-sector quantity,context_rule,low,707,629,ID0038; ID0063; ID0081; ID0091; ID0092; ID0095; ID0097; ID0121; ID0137; ID0141; ID0152; ID0165; ID0168; ID0188; ID0189; ID0190; ID0228; ID0232; ID0247; ID0249,Elsasser Attractor Manifold | Measurement Back-Action | Classical Emergence from Quantum Dynamics | SO(3) × U(1) Configuration Bundle | Semi-Direct Product of Rotation and Gauge Symmetry,"Elsasser Attractor Manifold \Lambda = \frac{B^{2}}{\rho\,\mu\,\Omega^{2}} || \Lambda \approx 1",this
sigma,"Hamiltonian, energy, or field strength depending on context",context_rule,low,702,313,ID0077; ID0091; ID0097; ID0098; ID0105; ID0108; ID0125; ID0177; ID0221; ID0227; ID0236; ID0238; ID0239; ID0240; ID0267; ID0269; ID0286; ID0298; ID0328; ID0385,Quantum Transport Phenomena | SO(3) × U(1) Configuration Bundle | Flip–Twist Bridge Transformation | Delta-Function Signal Injection | Master Synchronization Functional,Quantum Transport Phenomena \sigma(\omega) = \frac{1}{\omega}\operatorname{Im}\Pi_{JJ}(\omega) || \Pi_{JJ}(\omega) = \int dt\; e^{i\omega t}\langle J(t)J(0)\rangle,sigma
